freq,power
8125.5,3.96E-05
8126,3.41E-05
8126.5,3.53E-05
8127,4.98E-05
8127.5,6.67E-05
8128,3.50E-05
8128.5,1.55E-05
8129,1.98E-05
8129.5,2.57E-05
8130,2.31E-05
8130.5,1.63E-05
8131,2.80E-05
8131.5,3.16E-05
8132,3.27E-05
8132.5,2.51E-05
8133,3.24E-05
8133.5,2.11E-05
8134,2.40E-05
8134.5,3.46E-05
8135,2.84E-05
8135.5,3.73E-05
8136,3.96E-05
8136.5,4.48E-05
8137,3.54E-05
8137.5,1.29E-05
8138,3.04E-05
8138.5,4.48E-05
8139,3.88E-05
8139.5,6.19E-05
8140,5.79E-05
8140.5,3.22E-05
8141,4.00E-05
8141.5,3.50E-05
8142,5.50E-05
8142.5,4.95E-05
8143,3.70E-05
8143.5,3.62E-05
8144,6.40E-05
8144.5,6.39E-05
8145,3.61E-05
8145.5,2.77E-05
8146,1.60E-05
8146.5,2.13E-05
8147,2.67E-05
8147.5,2.80E-05
8148,3.19E-05
8148.5,4.69E-05
8149,4.93E-05
8149.5,3.10E-05
8150,2.37E-05
8150.5,4.89E-05
8151,5.95E-05
8151.5,6.47E-05
8152,5.13E-05
8152.5,2.89E-05
8153,1.98E-05
8153.5,3.75E-05
8154,4.11E-05
8154.5,7.09E-05
8155,7.32E-05
8155.5,1.96E-05
8156,4.15E-05
8156.5,5.14E-05
8157,7.26E-05
8157.5,6.10E-05
8158,2.75E-05
8158.5,3.97E-05
8159,6.02E-05
8159.5,5.19E-05
8160,5.56E-05
8160.5,7.77E-05
8161,5.45E-05
8161.5,3.55E-05
8162,5.88E-05
8162.5,7.49E-05
8163,4.90E-05
8163.5,4.08E-05
8164,3.16E-05
8164.5,3.37E-05
8165,3.08E-05
8165.5,3.55E-05
8166,7.81E-05
8166.5,6.96E-05
8167,5.56E-05
8167.5,9.07E-05
8168,8.57E-05
8168.5,5.02E-05
8169,4.22E-05
8169.5,5.75E-05
8170,5.85E-05
8170.5,4.15E-05
8171,3.16E-05
8171.5,3.73E-05
8172,3.16E-05
8172.5,8.17E-05
8173,9.50E-05
8173.5,6.39E-05
8174,8.14E-05
8174.5,6.56E-05
8175,4.82E-05
8175.5,5.41E-05
8176,8.89E-05
8176.5,0.000134917
8177,8.79E-05
8177.5,7.45E-05
8178,8.13E-05
8178.5,7.85E-05
8179,0.000115912
8179.5,0.000114048
8180,7.80E-05
8180.5,0.000127515
8181,0.000120695
8181.5,7.79E-05
8182,8.24E-05
8182.5,0.000101483
8183,8.07E-05
8183.5,0.000114861
8184,5.66E-05
8184.5,4.79E-05
8185,0.00010311
8185.5,0.000161589
8186,7.22E-05
8186.5,9.19E-05
8187,8.27E-05
8187.5,6.46E-05
8188,0.000160432
8188.5,0.000183178
8189,0.000146618
8189.5,0.000115663
8190,0.000107936
8190.5,9.79E-05
8191,0.000135845
8191.5,0.000128452
8192,0.000142069
8192.5,0.000141064
8193,0.000111315
8193.5,0.000139028
8194,0.000119388
8194.5,9.57E-05
8195,0.000116295
8195.5,9.58E-05
8196,9.44E-05
8196.5,0.000126255
8197,0.000176733
8197.5,0.00019303
8198,9.83E-05
8198.5,8.54E-05
8199,7.30E-05
8199.5,8.92E-05
8200,0.000270419
8200.5,0.000272908
8201,0.000154337
8201.5,0.000111495
8202,0.000148487
8202.5,0.000177499
8203,0.00024349
8203.5,0.000441763
8204,0.000359371
8204.5,0.000326369
8205,0.000365262
8205.5,0.000308702
8206,0.000226426
8206.5,0.000340973
8207,0.000269213
